Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num;ID
0.3807;5.2318;de Derriere les Lacs;2003;Haute Maurienne;3171.019139;3037;3317;3170;1193.672439;W;7.14762;45.4199;G007148E45420N;11;270;3506
2.0669;13.8658;du Baounet 1;2003;Haute Maurienne;3034.057582;2769;3303;3034;2900.433919;NW;7.11705;45.2555;G007117E45255N;11;315;3740
0.2249;3.2661;du Col Martelli (?) 1 ;2003;Haute Maurienne;3243.772727;3037;3482;3233.5;687.7536233;WNW;7.12676;45.263;G007127E45263N;11;270;3738
0.3116;6.6622;d'Arberon;2003;Haute Maurienne;3213.270833;2999;3474;3204.5;1243.236403;WNW;7.11941;45.2753;G007119E45275N;11;270;3482
0.8726;6.5819;d'Arnes;2003;Haute Maurienne;3135.597015;2834;3490;3131;1424.026095;NNW;7.13035;45.2801;G007130E45280N;11;0;3699
0.0498;1.6407;du Col d'Ouille Mouta (?);2004;Haute Maurienne;3425.934783;3362;3491;3420.5;231.0965352;NE;7.06201;45.2735;G007062E45273N;11;45;3410
0.7517;5.6121;de Charbonnel;2003;Haute Maurienne;3388.822811;3023;3723;3398;1158.776571;NNW;7.04849;45.2838;G007048E45284N;11;0;3312
0.2036;2.3386;la Grala de Charbonnel 1;2003;Haute Maurienne;3152.794286;2970;3327;3165;658.9922064;N;7.04017;45.2854;G007040E45285N;11;0;3744
0.3605;2.7972;de l'Ouille Mouta;2003;Vanoise;3019.192308;2922;3173;3011.5;875.8898378;NE;7.06687;45.2825;G007067E45282N;11;45;3348
0.1205;2.5997;du Grand Fond (?);2003;Haute Maurienne;3231.86087;3076;3392;3223;791.0287973;NNW;7.05655;45.2587;G007057E45259N;11;0;3543
0.0585;1.5859;Nord de la Grande Felouse (?);2003;Haute Maurienne;3399.363636;3251;3462;3410;317.7765111;NNE;7.07005;45.2522;G007070E45252N;11;0;3460
0.0581;1.6175;Sud de la Grande Felouse 1 (?);2003;Haute Maurienne;3320.147541;3176;3391;3331;389.3718363;NE;7.07285;45.2465;G007073E45246N;11;45;3742
2.059;11.9563;Rochemelon;2003;Haute Maurienne;3092.951567;2887;3285;3095;2427.164953;NW;7.06749;45.2208;G007067E45221N;11;315;3655
