Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
3.1526;20.1183;de la Grande Motte;2015;Vanoise;3025.985082;2661;3634;2965;3437.85958;NNW;6.881090788;45.42057731;G006881E45423N;6;0
0.0197;0.7161;des Brames de l'Ours 2;2015;Vanoise;2954.076923;2907;3006;2946;224.24539;NE;6.93926602;45.38593227;G006922E45391N;6;45
0.0202;0.82;de la Leisse 2;2015;Vanoise;3085.666667;3054;3125;3083;144.58092;NW;6.913194496;45.38640341;G006910E45386N;6;315
0.0671;1.2719;des Brames de l'Ours 1;2015;Vanoise;3012.238095;2961;3084;3006.5;332.76721;NE;6.92700345;45.38568214;G006922E45391N;6;45
0.0158;0.6632;des Fours 3;2015;Vanoise;2821;2808;2836;2822;139.6064;N;6.989294808;45.37349263;G006990E45372N;6;0
0.0668;2.3946;des Fours 1;2015;Vanoise;3147.02381;2994;3270;3155.5;445.15547;N;6.99487624;45.36892268;G006990E45372N;6;0
0.102;2.4296;des Fours 2;2015;Vanoise;3052.864407;2870;3202;3101;651.9965;N;6.98659458;45.36998024;G006990E45372N;6;0
0.3288;3.1915;des Roches;2015;Vanoise;3054.355769;2899;3201;3059;920.74734;ENE;7.004148609;45.3683769;G007005E45370N;6;90
0.006;0.358;des Roches Blanches 3;2015;Vanoise;3008.5;2999;3019;3008;77.78629;NW;6.979867614;45.36340878;G006979E45363N;6;315
0.1736;3.4071;des Roches Blanches 1;2015;Vanoise;3096.699029;3014;3166;3094;700.86071;NW;6.982844873;45.36254975;G006979E45363N;6;315
0.0091;0.5122;des Roches Blanches 2;2015;Vanoise;3050.166667;3038;3064;3047;130.75803;NW;6.977465198;45.36037898;G006979E45363N;6;315
0.1312;2.7213;de Mean Martin 1;2015;Vanoise;3012.468354;2839;3179;3025;800.20155;NE;6.98042656;45.34505408;G006980E45346N;6;45
0.1718;2.5131;de Grefet 1-2;2015;Vanoise;3014.679245;2933;3164;3011;740.61745;NNW;6.963924805;45.34427175;G006956E45344N;6;0
0.1175;2.4696;de Mean Martin 2;2015;Vanoise;3122.797101;3010;3255;3093;642.78244;NE;6.973825776;45.3441148;G006980E45346N;6;45
0.1589;2.3665;de Grefet 1-1;2015;Vanoise;3134.755102;2982;3273;3146;661.6126;NNW;6.956485906;45.34172293;G006956E45344N;6;0
0.1946;4.2729;du Vallonbrun 1;2015;Vanoise;3132.96748;2908;3477;3075;1050.84958;NW;6.951489725;45.33560899;G006948E45337N;6;315
1.8769;10.9405;du Vallonnet;2015;Vanoise;3282.271616;3019;3498;3286;1798.92481;NNE;6.909524973;45.33308978;G006904E45335N;6;0
0.0426;1.3631;de Rhemes - Calabre;2015;Haute Vallee de l'Isere;3016.137931;2949;3061;3024;486.65428;SSE;7.068044031;45.47261758;G007068E45470N;6;180
0.586;4.3048;de Rhemes Golette 1;2015;Haute Vallee de l'Isere;3057.906077;2901;3217;3075;1417.30746;NNW;7.050511917;45.49219702;G007045E45487N;6;0
1.8699;8.814;de la Sassiere;2015;Haute Vallee de l'Isere;3258.275556;2852;3621;3274;2105.89748;NW;6.988557456;45.5106147;G006988E45515N;6;315
0.0196;0.7116;des Fours 4;2015;Vanoise;2824.5;2809;2844;2822.5;159.80413;N;6.993346298;45.37313936;G006990E45372N;6;0
0.001;0.1719;de Grefet 2;2015;Vanoise;2951.421393;2944;2952;2948.5;32.05328;NNW;6.949061718;45.34409706;G006956E45344N;6;0
0.0047;0.3152;de Mean Martin 3;2015;Vanoise;3152;3142;3169;3145;60.61396;NE;6.976711063;45.34284514;G006980E45346N;6;45
0.0064;0.4182;de Mean Martin 4;2015;Vanoise;2949.5;2941;2957;2950;122.39362;NE;6.975110249;45.35105132;G006980E45346N;6;45
0.2167;2.2885;du Vallonbrun 2;2015;Vanoise;2835.740741;2750;2967;2833;808.02583;NW;6.937932897;45.3358091;G006948E45337N;6;315
0.0011;0.162;du Col Pers;2015;Haute Vallee de l'Isere;2940.5;2936;2945;2940.5;40.70653;NNW;7.051871178;45.43175508;G007059E45434N;6;0
0.4006;6.3736;du Grand 1;2015;Haute Vallee de l'Isere;3038.648889;2841;3204;3055;993.28867;WNW;6.986108785;45.64096833;G006985E45642N;6;270
1.6018;10.8911;Superieur des Balmes;2015;Haute Vallee de l'Isere;3313.780765;2854;3547;3335;1685.51462;NNW;6.986029016;45.53806824;G006985E45538N;6;0
0.0468;1.4317;de l'Argentiere;2015;Haute Vallee de l'Isere;2910.233333;2867;2998;2903.5;512.6517;SW;6.974807286;45.58190699;G006974E45585N;6;225
0.7574;7.2761;de la Savinaz;2015;Haute Vallee de l'Isere;3270.540839;2598;3556;3342;1857.63396;NE;6.87555174;45.51601365;G006883E45518N;6;45
0.0094;0.7596;de Pramecou 1_4;2015;Vanoise;2840;2798;2879;2829;263.11447;NW;6.883724956;45.43490617;G006870E45430N;6;315
0.003;0.2785;Gros Glacier 2;2015;Vanoise;3289;3288;3290;3289;64.32662;NNE;6.794216343;45.49234161;G006791E45494N;10;0
0.0313;1.3686;Gros Glacier 1;2015;Vanoise;3211.833333;3097;3310;3213;448.01553;NNE;6.791612581;45.49352646;G006791E45494N;10;0
0.1368;2.273;des Picheres;2015;Vanoise;3200.023256;3092;3298;3209;533.0559;ENE;6.802379515;45.49150082;G006803E45493N;10;90
0.0124;0.64;du Midi de Bellecote;2015;Vanoise;3001.6;2973;3037;3000;196.97789;SE;6.797388356;45.48946139;G006796E45487N;10;135
0.1241;2.6713;de la Chiaupe;2015;Vanoise;3097.493827;3028;3213;3097;599.58205;WNW;6.777126016;45.48925913;G006776E45488N;10;270
0.3172;4.3825;du Cul du Nant;2015;Vanoise;3166.742105;3005;3353;3133.5;1028.71996;SE;6.784763531;45.48785505;G006784E45487N;10;135
0.0615;1.8529;de Becca Motta;2015;Vanoise;2830.925;2752;2910;2826.5;237.39315;NNE;6.754554599;45.43092316;G006754E45431N;10;0
0.0203;0.8751;de Pramecou 1_2;2015;Vanoise;2998.769231;2976;3029;2998;221.00651;NW;6.87947537;45.43177649;G006870E45430N;10;315
